ISO3,NAME,D_T_DIFF,LATITUDE,LONGITUDE,Norm_T_Diff
CHN,Fenggang,2.96125539836,26.4117500872,117.837929364,0.0843489118217478
MEX,El Fuerte,1.52908853884,26.4190317494,-108.607217355,0.0342782328799966
CHN,Leiyang,-0.273668463357,26.4036950341,112.847288156,-0.0065775334283673
CHN,Huangtian,2.20416983357,26.438934044,118.625451985,0.0619502497360384
IND,THAKURGANJ,3.83158333333,26.4357452396,88.1322786803,0.1142020461435835
IND,Kokrajhar,1.09318820492,26.4049505686,90.2758216723,0.0334519493933247
IND,Howli,1.88399232246,26.4294958111,90.974027465,0.0595709816323211
CHN,Changning,-3.966304,26.4124115161,112.401235816,-0.0981168160619413
IND,GWALIOR,3.57800205973,26.2827322664,78.189909687,0.0814811948341414
CHN,Baiyashi,1.50754992459,26.3979954358,111.300154837,0.0381140532344347
IND,JODHPUR,-5.4045742094,26.286559084,73.0274011735,-0.1014640180328646
IND,NIWAI,0.531887440622,26.3699573489,75.941404934,0.0124572121737995
IND,Nagaon,0.404080727078,26.3515240276,92.698212379,0.0127206981799837
CHN,Xuefeng,3.58748841092,26.3596593434,117.209555677,0.1080166314706125
CHN,Rulin,2.09123550821,26.3488282567,110.320265275,0.0626932467572375
IND,JOURA,4.84184716733,26.3491921098,77.8134988952,0.1101839572419957
IND,Madhubani,-0.874619676946,26.3528284331,86.0799890393,-0.0222992383045361
CHN,Quanjiang,1.8967678859,26.3361374935,114.533985358,0.0498348699575878
CHN,Xibin,1.57023580674,26.3622111059,118.377303889,0.0436889645103572
IND,KOCHBIHAR,2.59621323325,26.3313390689,89.4590232239,0.0848136966748304
USA,Sebastian,0.310205555556,26.3414947459,-97.7858371586,0.0063778180728029
IND,MATHABHANGA,1.26318546023,26.3410152975,89.2164107459,0.0397414969248455
BGD,Panchagarh,-0.137265500795,26.3322729232,88.5620942109,-0.0040057325493858
CHN,Lianjiang,2.06227492568,26.3203553718,115.363295137,0.0535723389601231
CHN,Guanxia,2.78948768473,26.3363408068,116.343738488,0.0755085868006054
IND,NASIRABAD,0.264287185355,26.3015963836,74.7409312491,0.0053001629398569
IND,MOKOKCHUNG,0.433043478261,26.3240618125,94.525895643,0.0178280559185261
CHN,Duyuen,1.68034814544,26.2703395016,107.519329821,0.0540461101766512
CHN,Sanming,2.70362577209,26.2674793463,117.62301682,0.078938532336051
IND,KAILARAS,-3.40392357995,26.3042428123,77.6287779365,-0.0839696218688516
IND,TUFANGANJ,1.32580307331,26.3169956207,89.6740076798,0.0438323476682819
IND,JALALPUR,-5.64234955752,26.315259072,82.7461701365,-0.135780772102486
IND,Forbesganj,0.723875233271,26.3031520632,87.2705529138,0.0201888736052756
IND,Nirmali,1.44674528302,26.3110995034,86.5707266048,0.0391189281227587
IND,MIHONA,2.06902939166,26.2874312349,78.9835209987,0.0429195444227321
IND,SULTANPUR,-2.88254005471,26.2638706565,82.0823379658,-0.0648550660608294
IND,BARHALGANJ,-0.397852008457,26.2759218957,83.5142388891,-0.0098540750274095
PAK,Nawabshah,3.34987156704,26.2516849156,68.4187032106,0.0799008886728009
CHN,Anshun,2.03680552473,26.2487107947,105.92440041,0.0651247813298737
